dt_sold,yr_sold,mo_sold,yr_built,yr_remodel,bldg_class,bldg_type,house_style,zoning,neighborhd,oa_cond,oa_qual,func,liv_area,1fl_area,2fl_area,tot_rms,bedroom,bathroom,kit,kit_qual,central_air,elect,bsmt_area,bsmt_cond,bsmt_exp,bsmt_fin_qual,bsmt_ht,ext_cond,ext_cover,ext_qual,fdn,fence,fp,fp_qual,gar_area,gar_car,gar_cond,gar_fin,gar_qual,gar_type,gar_yr,heat_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,pave_dr,roof_matl,roof_style,op_area,ep_area,wd_area,sale_price
2008-07-05,2008,7,1971,1971,160,Twnhs,2Story,RM,BrDale,5,6,Typ,987,483,504,4,2,1.5,1,Average,Y,SBrkr,483,Average,No,ALQ,Average,Average,HdBoard,Average,CBlock,NA,0,NA,264,1,Average,Unf,Average,Detchd,1971,Average,Lvl,Gtl,1680,Inside,21,Reg,Y,CompShg,Gable,0,0,0,85.4
2006-02-16,2006,2,2005,2005,20,1Fam,1Story,RL,CollgCr,5,7,Typ,1208,1208,0,6,2,2,1,Good,Y,SBrkr,1208,Average,Av,GLQ,Good,Average,VinylSd,Good,PConc,NA,0,NA,632,2,Average,RFn,Average,Attchd,2005,Excellent,Lvl,Gtl,7488,Inside,64,IR1,Y,CompShg,Gable,58,0,105,183.6
2009-06-03,2009,6,1880,2007,70,1Fam,2Story,RL,SawyerW,7,5,Mod,2016,1288,728,7,4,1,1,Average,Y,SBrkr,0,NA,NA,NA,NA,Average,HdBoard,Good,PConc,NA,1,Average,576,2,Average,Unf,Average,Attchd,1900,Excellent,Bnk,Gtl,26400,FR2,120,Reg,P,CompShg,Gable,0,0,0,131
2008-12-25,2008,12,1999,2000,160,Twnhs,2Story,FV,Somerst,5,8,Typ,1607,962,645,7,3,3.5,1,Good,Y,SBrkr,960,Average,No,GLQ,Good,Average,MetalSd,Good,PConc,NA,0,NA,480,2,Average,Unf,Average,Detchd,2000,Excellent,Lvl,Gtl,2645,Inside,24,Reg,Y,CompShg,Gable,0,0,169,200
2008-06-16,2008,6,2007,2007,20,1Fam,1Story,RL,CollgCr,5,7,Typ,1361,1361,0,6,3,2,1,Good,Y,SBrkr,1351,Average,Av,GLQ,Good,Average,VinylSd,Good,PConc,NA,0,NA,610,2,Average,RFn,Average,Attchd,2007,Excellent,Lvl,Gtl,9627,Inside,74,Reg,Y,CompShg,Gable,50,0,0,193
2010-03-04,2010,3,2004,2005,20,1Fam,1Story,RL,Mitchel,5,5,Typ,1430,1430,0,7,3,2,1,Good,Y,SBrkr,1430,Average,Av,Unf,Excellent,Average,VinylSd,Average,PConc,NA,0,NA,624,2,Average,RFn,Average,Attchd,2004,Excellent,Lvl,Gtl,10114,Inside,93,Reg,Y,CompShg,Gable,0,0,0,173.5
2008-05-09,2008,5,1916,1950,70,1Fam,2Story,RM,OldTown,5,5,Typ,1344,624,720,7,4,1,1,Average,N,SBrkr,624,Average,No,Unf,Average,Average,AsbShng,Average,BrkTil,NA,0,NA,513,3,Fair,Unf,Fair,Detchd,1916,Fair,Lvl,Gtl,4571,Inside,34,Reg,Y,CompShg,Gable,0,96,0,98
2009-06-28,2009,6,1963,1963,20,1Fam,1Story,RL,Sawyer,6,5,Typ,1121,1121,0,5,3,2,1,Average,Y,SBrkr,1121,Average,No,Rec,Average,Average,VinylSd,Average,PConc,MnPrv,0,NA,480,2,Average,Unf,Average,Detchd,1963,Average,Lvl,Gtl,8816,Corner,80,Reg,Y,CompShg,Gable,80,0,0,139
2007-04-11,2007,4,1977,1977,20,1Fam,1Story,RL,Sawyer,5,6,Typ,1285,1285,0,7,3,1.5,1,Average,Y,SBrkr,660,Average,No,Unf,Average,Average,Plywood,Average,CBlock,MnPrv,1,Average,528,2,Average,RFn,Average,Attchd,1977,Excellent,Lvl,Gtl,8197,Inside,71,Reg,Y,CompShg,Gable,0,0,138,143.5
2010-06-07,2010,6,2009,2009,60,1Fam,2Story,FV,Somerst,5,7,Typ,1547,764,783,7,3,2.5,1,Good,Y,SBrkr,756,Average,Mn,GLQ,Good,Average,VinylSd,Average,PConc,NA,0,NA,614,2,Average,Unf,Average,Attchd,2009,Excellent,Lvl,Gtl,8640,Inside,72,Reg,Y,CompShg,Gable,45,0,169,215.2
2007-05-17,2007,5,1968,1968,20,1Fam,1Story,RL,Sawyer,5,5,Typ,894,894,0,5,3,1,1,Average,Y,SBrkr,894,Average,No,BLQ,Good,Average,VinylSd,Average,CBlock,NA,1,Poor,450,2,Average,Fin,Average,Attchd,1968,Good,Lvl,Gtl,8724,Inside,109,Reg,Y,CompShg,Gable,0,0,0,129
2009-10-20,2009,10,2000,2000,120,TwnhsE,1Story,RL,StoneBr,5,8,Typ,1659,1659,0,5,2,3,1,Excellent,Y,SBrkr,1501,Average,No,GLQ,Good,Average,CemntBd,Good,PConc,NA,1,Excellent,499,2,Average,Fin,Average,Attchd,2000,Excellent,Lvl,Gtl,5664,Inside,40,IR1,Y,CompShg,Gable,59,0,212,278
2006-07-15,2006,7,2005,2006,60,1Fam,2Story,RL,NridgHt,5,8,Typ,2253,1209,1044,8,3,2.5,1,Excellent,Y,SBrkr,1209,Average,Av,Unf,Excellent,Average,CemntBd,Good,PConc,NA,1,Good,575,2,Average,Fin,Average,Attchd,2005,Excellent,Lvl,Gtl,12867,Corner,103,IR1,Y,CompShg,Gable,142,0,243,344.133
2010-03-02,2010,3,1992,2007,20,1Fam,1Story,RL,Gilbert,7,6,Typ,1187,1187,0,6,3,3,1,Average,Y,SBrkr,1168,Average,No,ALQ,Good,Good,HdBoard,Average,PConc,GdPrv,0,NA,420,2,Average,Fin,Average,Attchd,1992,Excellent,Lvl,Gtl,7980,Inside,NA,IR1,Y,CompShg,Gable,21,0,483,185
2006-01-15,2006,1,1955,1955,190,2fmCon,1Story,RL,Gilbert,5,NA,Typ,1056,1056,0,5,3,2,1,Average,N,SBrkr,1056,Average,Mn,Rec,Average,Average,Wd Sdng,Average,CBlock,NA,0,NA,572,2,Average,Fin,Average,Attchd,1955,Average,Bnk,Gtl,34650,Inside,100,Reg,Y,CompShg,Hip,0,0,264,145
2009-04-24,2009,4,1961,1961,20,1Fam,1Story,RL,"NAmes",6,6,Typ,1453,1453,0,6,3,3,1,Average,Y,SBrkr,1453,Average,No,Rec,Average,Average,MetalSd,Average,CBlock,GdPrv,1,Average,530,2,Average,RFn,Average,Attchd,1961,Excellent,Lvl,Gtl,10573,Corner,92,IR1,Y,CompShg,Hip,49,0,0,187.5
2010-04-05,2010,4,1965,2009,20,1Fam,1Story,RL,Sawyer,8,5,Typ,894,894,0,5,3,2,1,Average,Y,SBrkr,894,Average,No,GLQ,Average,Good,MetalSd,Average,CBlock,MnPrv,1,Good,336,1,Average,Unf,Average,Detchd,1973,Excellent,Lvl,Gtl,8450,Inside,65,Reg,Y,CompShg,Gable,144,0,416,138.5
2008-07-16,2008,7,1937,1995,50,1Fam,1.5Fin,RL,Crawfor,6,5,Min2,1938,1265,673,7,4,2,1,Good,Y,SBrkr,942,Average,No,BLQ,Average,Average,WdShing,Average,CBlock,NA,1,Good,240,1,Average,Unf,Average,Detchd,1937,Excellent,HLS,Mod,11700,Inside,NA,IR1,Y,CompShg,Gable,40,0,0,198
2007-06-28,2007,6,1895,2006,190,2fmCon,2Story,C (all),IDOTRR,6,5,Typ,1991,1034,957,9,4,2,2,Average,N,SBrkr,957,Average,No,Unf,Average,Good,VinylSd,Average,CBlock,NA,0,NA,0,0,NA,NA,NA,NA,NA,Fair,Lvl,Gtl,8250,Inside,75,Reg,N,CompShg,Gable,0,133,0,119.6
2007-07-15,2007,7,1949,2006,50,1Fam,1.5Fin,RL,"NAmes",7,5,Typ,924,672,252,6,3,1,1,Average,Y,SBrkr,672,Average,Mn,Unf,Average,Good,MetalSd,Average,CBlock,MnPrv,1,Poor,576,2,Average,Unf,Average,Detchd,2003,Excellent,Lvl,Gtl,8064,Corner,60,Reg,Y,CompShg,Gable,0,0,0,122.9
2009-07-23,2009,7,1981,1981,20,1Fam,1Story,RL,NWAmes,5,8,Typ,2524,2524,0,9,4,3.5,1,Good,Y,SBrkr,2524,Average,No,ALQ,Good,Average,BrkFace,Good,PConc,MnPrv,1,Good,542,2,Average,Fin,Average,Attchd,1981,Average,Lvl,Gtl,9600,Inside,80,Reg,Y,WdShngl,Hip,120,0,474,278
2006-06-15,2006,6,1929,1950,70,1Fam,2Story,RL,Crawfor,7,8,Typ,1517,792,725,7,3,1,1,Good,Y,SBrkr,792,Average,No,Unf,Good,Average,BrkFace,Average,PConc,NA,2,Good,400,2,Average,Unf,Average,Detchd,1931,Fair,HLS,Mod,11435,Corner,NA,IR1,Y,CompShg,Gable,0,0,0,230
2006-04-20,2006,4,1995,1996,120,TwnhsE,1Story,RL,Veenker,5,8,Typ,1494,1494,0,6,2,2.5,1,Excellent,Y,SBrkr,1494,Good,Av,LwQ,Good,Good,BrkFace,Good,PConc,NA,1,Good,481,2,Average,Fin,Average,Attchd,1995,Excellent,Lvl,Gtl,9549,CulDSac,30,IR1,Y,CompShg,Hip,30,0,0,270
2007-04-13,2007,4,1952,1952,20,1Fam,1Story,RL,"NAmes",6,6,Typ,948,948,0,5,2,1,1,Average,Y,SBrkr,948,Average,No,ALQ,Average,Average,Wd Sdng,Average,CBlock,NA,0,NA,410,2,Average,Unf,Average,Detchd,1952,Average,Lvl,Gtl,10950,Inside,60,Reg,N,CompShg,Hip,48,0,0,125
2009-09-17,2009,9,2007,2008,20,1Fam,1Story,RL,CollgCr,5,8,Typ,1718,1718,0,7,3,3,1,Good,Y,SBrkr,1705,Average,Gd,GLQ,Excellent,Average,VinylSd,Good,PConc,NA,1,Good,826,3,Average,RFn,Average,Attchd,2007,Excellent,Lvl,Gtl,10637,Inside,79,Reg,Y,CompShg,Hip,44,0,208,297
2009-04-26,2009,4,1958,1958,20,1Fam,1Story,RL,"NAmes",6,6,Typ,1142,1142,0,5,2,1,1,Average,Y,SBrkr,160,Average,Gd,Unf,Good,Average,Wd Sdng,Average,CBlock,NA,1,Good,384,1,Average,RFn,Average,Basment,1958,Fair,HLS,Mod,9000,Inside,80,IR1,Y,Tar&Grv,Flat,28,64,0,113.5
2006-07-27,2006,7,1977,1977,160,TwnhsE,2Story,RM,MeadowV,6,5,Typ,1475,925,550,6,4,2,1,Average,Y,SBrkr,757,Average,No,ALQ,Average,Average,CemntBd,Average,PConc,NA,1,Average,336,1,Average,RFn,Average,Attchd,1977,Excellent,Lvl,Gtl,2665,Inside,41,Reg,Y,CompShg,Gable,26,0,104,127
2010-01-16,2010,1,1977,1977,20,1Fam,1Story,RL,NWAmes,6,6,Typ,1844,1844,0,7,3,2,1,Average,Y,SBrkr,1844,Average,No,BLQ,Good,Average,Plywood,Average,CBlock,MnPrv,1,Average,546,2,Average,RFn,Average,Attchd,1977,Excellent,Lvl,Gtl,11751,Inside,105,IR1,Y,CompShg,Hip,122,0,0,190
2007-09-27,2007,9,1973,1973,20,1Fam,1Story,RL,NWAmes,6,7,Typ,1242,1242,0,6,3,1.5,1,Average,Y,SBrkr,1242,Average,No,ALQ,Average,Average,HdBoard,Average,CBlock,NA,1,Average,528,2,Average,Unf,Average,Attchd,1973,Fair,Lvl,Gtl,9600,Inside,80,Reg,Y,CompShg,Hip,0,0,0,175.5
2007-07-18,2007,7,1994,1994,20,1Fam,1Story,RL,CollgCr,7,5,Typ,990,990,0,5,3,2,1,Average,Y,SBrkr,990,Good,No,GLQ,Good,Good,VinylSd,Average,PConc,NA,0,NA,384,1,Average,Unf,Average,Detchd,1995,Excellent,Lvl,Gtl,8428,Inside,60,IR2,Y,CompShg,Gable,0,0,256,146
2008-06-25,2008,6,1965,1965,20,1Fam,1Story,RL,Edwards,6,5,Typ,1256,1256,0,6,3,2.5,1,Average,Y,SBrkr,1256,Average,No,BLQ,Average,Average,HdBoard,Good,CBlock,NA,0,NA,276,1,Average,Fin,Average,Attchd,1965,Good,Lvl,Gtl,9937,Inside,75,Reg,Y,CompShg,Gable,68,0,736,147.5
2006-09-28,2006,9,2006,2006,20,1Fam,1Story,RL,NridgHt,5,10,Typ,2076,2076,0,7,2,3.5,1,Excellent,Y,SBrkr,2076,Good,Gd,GLQ,Excellent,Average,VinylSd,Excellent,PConc,NA,1,Good,850,3,Average,Fin,Average,Attchd,2006,Excellent,Lvl,Gtl,13891,Inside,107,Reg,Y,CompShg,Gable,229,0,216,465
2009-07-19,2009,7,1978,1978,85,1Fam,SFoyer,RL,Mitchel,6,5,Typ,1110,1110,0,4,1,2,1,Good,Y,SBrkr,1097,Average,Av,GLQ,Good,Good,Plywood,Average,PConc,NA,1,Average,602,2,Average,Fin,Average,Attchd,1978,Excellent,Lvl,Gtl,9101,Corner,NA,IR1,Y,CompShg,Gable,30,0,303,165.5
2008-11-22,2008,11,1954,1954,50,1Fam,1.5Fin,RM,OldTown,5,5,Typ,1795,1050,745,7,4,2,1,Average,N,FuseF,1050,Average,No,Unf,Average,Average,MetalSd,Average,BrkTil,NA,0,NA,352,1,Average,Unf,Fair,Attchd,1954,Excellent,Lvl,Gtl,12150,Inside,81,Reg,Y,CompShg,Gable,0,0,0,131.5
2008-02-22,2008,2,1965,1965,20,1Fam,1Story,RL,Sawyer,5,5,Typ,1040,1040,0,5,3,2,1,Average,Y,SBrkr,1040,Average,No,Rec,Average,Average,HdBoard,Average,CBlock,NA,0,NA,384,1,Average,Unf,Average,Detchd,1965,Excellent,Lvl,Gtl,11200,Inside,70,Reg,Y,CompShg,Hip,0,0,0,129.5
2008-06-05,2008,6,1935,1950,70,1Fam,2Story,RL,Crawfor,6,8,Typ,1873,983,890,9,4,1.5,1,Average,Y,SBrkr,608,Fair,No,LwQ,Average,Average,BrkFace,Average,PConc,NA,2,Good,786,2,Average,Fin,Fair,Detchd,1935,Average,HLS,Mod,9670,Inside,100,IR1,Y,CompShg,Gable,0,207,0,257.076
2009-07-03,2009,7,1941,1960,50,1Fam,1.5Fin,RL,Edwards,5,5,Min2,1604,984,620,6,3,2,1,Average,Y,SBrkr,984,Average,No,LwQ,Average,Average,Wd Sdng,Average,CBlock,NA,0,NA,660,2,Average,Unf,Average,Detchd,1977,Excellent,Lvl,Gtl,10998,Inside,60,Reg,Y,CompShg,Gable,68,0,0,117
2008-02-18,2008,2,1931,2000,70,1Fam,2Story,RL,Crawfor,6,7,Typ,1502,851,651,6,3,1.5,1,Average,Y,SBrkr,776,Average,No,Unf,Good,Fair,Stucco,Average,BrkTil,MnPrv,1,Good,270,1,Average,RFn,Average,Attchd,1931,Average,HLS,Mod,7200,Inside,60,Reg,P,CompShg,Gable,0,112,0,149
2010-02-13,2010,2,1954,1954,20,1Fam,1Story,RL,"NAmes",5,5,Typ,1063,1063,0,6,3,2,1,Average,Y,SBrkr,1056,Average,No,Rec,Average,Average,HdBoard,Average,CBlock,MnPrv,0,NA,280,1,Average,RFn,Average,Attchd,1954,Average,Lvl,Gtl,9920,Inside,80,Reg,Y,CompShg,Gable,0,164,0,128
2008-10-13,2008,10,2003,2004,160,Twnhs,2Story,RL,NridgHt,5,7,Typ,1626,764,862,6,2,2.5,1,Good,Y,SBrkr,764,Average,No,Unf,Good,Average,VinylSd,Good,PConc,NA,0,NA,474,2,Average,RFn,Average,BuiltIn,2003,Excellent,Lvl,Gtl,2448,Inside,36,Reg,Y,CompShg,Gable,27,0,0,155
2006-06-07,2006,6,2000,2000,160,TwnhsE,2Story,FV,Somerst,5,6,Typ,1524,768,756,4,2,2.5,1,Good,Y,SBrkr,756,Average,No,GLQ,Good,Average,MetalSd,Good,PConc,NA,0,NA,440,2,Average,Unf,Average,Detchd,2000,Excellent,Lvl,Gtl,2998,Inside,NA,Reg,Y,CompShg,Gable,32,0,0,166
2009-12-18,2009,12,1928,1950,50,1Fam,1.5Fin,RL,SWISU,3,4,Min2,1981,1328,653,7,4,3,1,Good,Y,SBrkr,1122,Average,No,BLQ,Average,Average,WdShing,Average,BrkTil,MnPrv,2,Average,576,2,Average,Unf,Average,Detchd,1981,Average,Lvl,Gtl,7804,Inside,65,Reg,Y,CompShg,Gable,44,0,431,135
2006-07-11,2006,7,1978,1978,60,1Fam,2Story,RL,NWAmes,5,7,Typ,2784,1392,1392,12,5,4.5,1,Good,Y,SBrkr,1392,Average,No,BLQ,Good,Average,Plywood,Average,CBlock,MnPrv,2,Average,564,2,Average,RFn,Average,Attchd,1978,Average,Lvl,Gtl,16692,Inside,80,IR1,Y,CompShg,Gable,112,0,0,250
2010-03-14,2010,3,1970,1970,160,Twnhs,2Story,RM,MeadowV,7,4,Typ,1092,546,546,5,3,1.5,1,Average,Y,SBrkr,546,Average,No,GLQ,Average,Average,CemntBd,Average,CBlock,NA,0,NA,0,0,NA,NA,NA,NA,NA,Excellent,Lvl,Gtl,1476,Inside,21,Reg,Y,CompShg,Gable,26,0,200,76
2006-06-09,2006,6,1951,1951,20,1Fam,1Story,RL,"NAmes",6,6,Typ,1575,1575,0,5,2,1.5,1,Good,Y,SBrkr,216,Average,No,Unf,Average,Average,Wd Sdng,Average,CBlock,NA,1,Good,400,2,Average,Unf,Average,Attchd,1951,Average,Lvl,Gtl,10170,Corner,75,Reg,Y,CompShg,Hip,0,0,0,155
2010-03-19,2010,3,1969,1969,60,1Fam,2Story,RL,Sawyer,7,6,Typ,1352,663,689,7,4,1.5,1,Average,Y,SBrkr,663,Average,No,ALQ,Average,Average,HdBoard,Average,CBlock,MnPrv,0,NA,299,1,Average,Fin,Average,Attchd,1969,Average,Lvl,Gtl,9364,Corner,80,Reg,Y,CompShg,Gable,36,0,379,158
2010-02-11,2010,2,2004,2005,160,Twnhs,2Story,FV,Somerst,5,7,Typ,1200,600,600,4,2,3.5,1,Good,Y,SBrkr,600,Average,No,GLQ,Good,Average,MetalSd,Good,PConc,NA,0,NA,480,2,Average,RFn,Average,Detchd,2004,Excellent,Lvl,Gtl,2544,Inside,24,Reg,Y,CompShg,Gable,172,0,0,149.5
2006-03-02,2006,3,1954,1975,20,1Fam,1Story,RL,"NAmes",6,5,Typ,936,936,0,5,2,1,1,Average,Y,FuseA,936,Average,No,BLQ,Average,Good,MetalSd,Average,CBlock,MnPrv,0,NA,240,1,Average,Unf,Average,Attchd,1954,Average,Lvl,Gtl,9888,Inside,82,Reg,Y,CompShg,Gable,0,160,0,121
2007-06-05,2007,6,1953,1953,20,1Fam,1Story,RL,"NAmes",7,6,Typ,1040,1040,0,6,3,1.5,1,Average,Y,FuseF,1040,Average,No,Rec,Average,Average,Wd Sdng,Average,CBlock,MnPrv,0,NA,293,1,Average,Fin,Average,Attchd,1953,Average,Lvl,Gtl,7942,Inside,68,Reg,Y,CompShg,Hip,0,0,0,136
2008-11-19,2008,11,1996,1996,60,1Fam,2Story,RL,Gilbert,5,6,Typ,1636,916,720,7,3,2.5,1,Average,Y,SBrkr,916,Average,No,Rec,Good,Average,HdBoard,Average,PConc,NA,1,Average,386,2,Average,Fin,Average,Attchd,1996,Good,Lvl,Gtl,15038,Corner,NA,IR2,Y,CompShg,Gable,84,0,168,173
2010-04-22,2010,4,1999,2007,60,1Fam,2Story,RL,NoRidge,7,8,Typ,2270,1164,1106,9,4,2.5,1,Good,Y,SBrkr,1152,Average,No,GLQ,Good,Average,VinylSd,Good,PConc,NA,1,Good,671,3,Average,Fin,Average,Attchd,1999,Excellent,Lvl,Gtl,11764,CulDSac,92,IR1,Y,CompShg,Gable,57,0,132,290
2007-08-11,2007,8,2007,2007,60,1Fam,2Story,FV,Somerst,5,8,Typ,2610,1184,1426,11,4,2.5,1,Excellent,Y,SBrkr,1184,Average,Av,GLQ,Good,Average,CemntBd,Good,PConc,NA,1,Good,550,2,Average,Fin,Average,BuiltIn,2007,Excellent,Lvl,Gtl,9000,Inside,75,Reg,Y,CompShg,Gable,364,0,208,303.477
2010-04-23,2010,4,1977,2001,20,1Fam,1Story,RL,ClearCr,7,7,Typ,1483,1483,0,4,1,2.5,1,Average,Y,SBrkr,1420,Average,Gd,ALQ,Good,Good,Wd Sdng,Good,CBlock,NA,2,Average,690,2,Average,RFn,Average,Attchd,1977,Good,Low,Mod,20062,Inside,NA,IR1,Y,CompShg,Hip,0,0,496,270
2008-06-18,2008,6,1920,1950,50,1Fam,1.5Fin,RM,OldTown,5,5,Typ,1740,960,780,6,2,1,1,Excellent,N,FuseA,936,Average,No,Rec,Average,Fair,WdShing,Fair,BrkTil,NA,1,Good,225,1,Fair,Unf,Fair,Detchd,1920,Good,Lvl,Gtl,7308,Corner,81,Reg,N,CompShg,Gable,0,236,0,122.25
2009-07-27,2009,7,1955,1955,20,1Fam,1Story,RL,"NAmes",5,5,Typ,1382,1382,0,6,3,1.5,1,Good,Y,FuseA,1382,Average,No,Rec,Average,Average,AsbShng,Average,CBlock,GdWo,0,NA,350,1,Average,Unf,Average,Attchd,1955,Good,Lvl,Gtl,8750,Inside,70,Reg,Y,CompShg,Gable,0,0,280,153
2007-12-21,2007,12,2007,2007,20,1Fam,1Story,RL,Mitchel,5,5,Typ,1120,1120,0,6,3,1,1,Average,Y,SBrkr,1120,Average,No,ALQ,Good,Average,VinylSd,Average,PConc,NA,0,NA,0,0,NA,NA,NA,NA,NA,Excellent,Lvl,Gtl,8402,Inside,70,Reg,Y,CompShg,Gable,30,0,0,147
2007-06-03,2007,6,1930,1995,70,1Fam,2Story,RL,Crawfor,8,7,Typ,1098,567,531,5,2,2,1,Average,Y,SBrkr,531,Average,No,GLQ,Good,Average,Wd Sdng,Average,BrkTil,MnPrv,1,Good,216,1,Average,Unf,Average,Detchd,1930,Average,Lvl,Gtl,4000,Inside,63,Reg,Y,CompShg,Gable,0,0,0,148.5
2006-04-19,2006,4,2004,2004,160,TwnhsE,2Story,RM,Edwards,5,7,Maj1,1708,976,732,7,3,2,1,Good,Y,SBrkr,976,Average,No,Unf,Good,Average,VinylSd,Good,PConc,NA,0,NA,380,2,Average,Unf,Average,Detchd,2004,Excellent,Lvl,Gtl,3363,Inside,32,Reg,Y,CompShg,Gable,40,0,0,130
2007-06-08,2007,6,2006,2006,20,1Fam,1Story,RL,NridgHt,5,9,Typ,1802,1802,0,7,3,2.5,1,Excellent,Y,SBrkr,1802,Average,Gd,Unf,Excellent,Average,MetalSd,Excellent,PConc,NA,1,Good,843,3,Average,Fin,Average,Attchd,2006,Excellent,HLS,Mod,13615,Corner,94,IR1,Y,CompShg,Hip,105,0,158,372
2006-04-09,2006,4,2005,2005,120,TwnhsE,1Story,RL,Blmngtn,5,7,Typ,1506,1506,0,6,2,2,1,Good,Y,SBrkr,1362,Average,Gd,GLQ,Good,Average,VinylSd,Good,PConc,NA,1,Good,440,2,Average,Fin,Average,Attchd,2005,Excellent,Lvl,Gtl,3013,Inside,43,Reg,Y,CompShg,Gable,20,0,142,213.49
2010-01-13,2010,1,2009,2010,20,1Fam,1Story,RL,Edwards,5,7,Typ,1508,1508,0,5,1,2,1,Good,Y,SBrkr,1508,Average,Gd,GLQ,Good,Average,VinylSd,Good,PConc,NA,2,Average,572,2,Average,RFn,Average,Attchd,2009,Excellent,Lvl,Gtl,17485,Inside,44,IR2,Y,CompShg,Gable,0,0,0,308.03
